Glottocode,n_coded,n_match,score,score_of_total,ID,Name,Family,Ergative_type
mari1424,22,20,0.9090909090909091,0.9090909090909091,mari1424,Marrithiyel,Daly,Ergative
bahi1252,22,20,0.9090909090909091,0.9090909090909091,bahi1252,Bahing,Trans-Himalayan,Ergative
alba1269,21,19,0.9047619047619048,0.8636363636363636,alba1269,Albay Bikol,Austronesian,Ergative
mari1416,21,19,0.9047619047619048,0.8636363636363636,mari1416,Maring,Trans-New Guinea,Ergative
chep1245,20,18,0.9,0.8181818181818182,chep1245,Chepang,Trans-Himalayan,Ergative
ahin1234,20,18,0.9,0.8181818181818182,ahin1234,Kalanguya,Austronesian,Ergative
aben1249,20,18,0.9,0.8181818181818182,aben1249,Ayta Abenlen,Austronesian (Sambalic),Ergative
auye1238,20,18,0.9,0.8181818181818182,auye1238,Auye,Trans-New Guinea,Ergative
cuti1242,20,18,0.9,0.8181818181818182,cuti1242,Katukina-Kanamari,Katukina,Ergative
djin1251,20,18,0.9,0.8181818181818182,djin1251,Jingulu,Mirndi,Ergative
kara1487,19,17,0.8947368421052632,0.7727272727272727,kara1487,Karao,Austronesian,Ergative
chug1252,19,17,0.8947368421052632,0.7727272727272727,chug1252,Duhumbi,Trans-Himalayan,Ergative
dura1244,19,17,0.8947368421052632,0.7727272727272727,dura1244,Dura,Trans-Himalayan,Ergative
gure1255,19,17,0.8947368421052632,0.7727272727272727,gure1255,Gureng Gureng,Pama-Nyungan,Ergative
jeru1240,19,17,0.8947368421052632,0.7727272727272727,jeru1240,Jero,Trans-Himalayan,Ergative
iban1267,18,16,0.8888888888888888,0.7272727272727273,iban1267,Iban,Austronesian,Ergative
anut1237,18,16,0.8888888888888888,0.7272727272727273,anut1237,Anutan,Austronesian,Ergative
maor1246,17,15,0.8823529411764706,0.6818181818181818,maor1246,Maori,Austronesian,Ergative
melp1238,17,15,0.8823529411764706,0.6818181818181818,melp1238,Melpa,Trans-New Guinea,Ergative
gahr1239,17,15,0.8823529411764706,0.6818181818181818,gahr1239,Bunan,Trans-Himalayan,Ergative
munc1235,15,13,0.8666666666666667,0.5909090909090909,munc1235,Mün Chin,Trans-Himalayan,Ergative
